"","fighter","attack_type","attack_name","damage_raw","description"
"11","Mario","Down smash","","10% (front), 12% (back)","The Sweep Kick from Super Mario 64. Mario does a breakdance kick that hits both sides. Mario's fastest smash attack, coming out as fast as all his tilts, and both hits semi-spike opponents, though the frontal hit is rather weak in comparison to the back hit. Also capable of hitting ledge hangs. The animation in Ultimate more closely resembles Mario's breakdance from Dance Dance Revolution: Mario Mix."
"12","Mario","Neutral aerial","","8% (clean), 5% (late)","A flying kick. As a sex kick, it loses its already below-average power after the first frames. It is useful for breaking out of combos due to its very fast startup (frame 3), and as a versatile horizontal combo extender, as well as for locking opponents. Autocancels in a short hop. Can combo into a tilt attack or grab at low percents if landing on the ground shortly after the hit. Very similar to the Jump Kick from Super Mario 64."
"13","Mario","Forward aerial","Meteor Knuckle","12% (early), 14% (clean), 10% (late)","Rears back his fist and then throws an overhand. When hit clean, it is a meteor smash with enough knockback to KO under 45% offstage. It has the slowest startup of his standard moveset (frame 16), high ending lag, and is Mario's only aerial that doesn't autocancel in a short hop."
"14","Mario","Back aerial","","10.5% (clean), 7% (late)","A dropkick behind Mario. Has decent knockback, fast startup with low ending and landing lag, and more range than most of Mario's other aerials, making it an effective spacing tool and horizontal combo extender at low percents, as well as having the ability to pseudo Wall of Pain off stage. Also capable of killing at higher percents, and can be used twice in a short hop, or with neutral, up and down airs."
"15","Mario","Up aerial","","7%","A flipkick. Has extremely fast startup (frame 4), consistent strength throughout the move and very low ending and landing lag, making it one of Mario's most versatile combo starters and extenders in his moveset. Can combo into itself easily until higher percents, and can kill off the top at high percents when close to the upper blast line."
"16","Mario","Down aerial","Mario Tornado","1.4% (hits 1-5), 5.5% (hit 6), 2% (landing)","Rapidly spins around, trapping opponents and damaging them with a series of discus clotheslines and spinning backfists before assuming a spread-eagle position to launch them. It can combo at low percents with the final hit, whilst possessing very low endlag, making the move rather safe to use, barring its low range. However, the move's hitboxes do not reliably trap opponents, especially when falling. It also has a landing hitbox that combos reliably into tilts or grab. It resembles the Spin Jump, a technique that first appeared in Super Mario World. Useful as a combo starter and damage-racking option, and can KO the opponents near the upper blast zone at high percentages."
"17","Mario","Grab","","—","Reaches out. Mario's overall grab range is somewhat short."
"18","Mario","Pummel","","1.3%","Headbutts the opponent."
"19","Mario","Forward throw","","8%","Spins the opponent around once and throws them forward. Can be followed up with dash attack at lower percents, or be used to set up tech situations and mixups, or edgeguards. It fails to kill at very high percents, even at ledge."
"20","Mario","Back throw","Airplane Swing","11% (throw), 8% (collateral)","Spins the opponent by their legs three times before throwing them backward. Can KO even the heaviest of characters reliably at around 160% near the edge without the need of rage, but can KO middleweights as early as 120% if they fail to DI. Also has some use in matches with more than one player, as the collateral hit has large range and high knockback. Due to its slow speed, it is easy to DI, causing it to KO only above 160%. It is based on the throw that he uses against Bowser in Super Mario 64."
"21","Mario","Up throw","","7%","Heaves the opponent directly overhead with both hands. An effective combo throw at low to medium percentages, comboing into all aerials except forward air. Very similar animation to the Upward Cap Throw from Super Mario Odyssey."
"22","Mario","Down throw","","5%","A body slam. It can be followed up with several options, including up tilt on certain characters at varying percents, Super Jump Punch, neutral attack, and up aerial at mid percents on most characters. Effective for starting ladder combos on platform stages."
"23","Mario","Floor attack (front)","","7%","Performs a modified version of the Sweep Kick from Super Mario 64 before getting up."
"24","Mario","Floor attack (back)","","7%","Punches behind himself and then in front of himself while getting up."
"25","Mario","Floor attack (trip)","","5%","Performs a side kick behind himself and then in front of himself while getting up."
"26","Mario","Edge attack","","9%","Performs a dropkick while climbing up."
"27","Mario","Neutral special","Fireball","5% (early), 4% (late)","Throws a Fireball. The fireball bounces along the ground several times before disappearing. Has a lot of endlag for how weak it is, but Mario retains full control over his aerial mobility while using it, allowing him to continue drifting unpredictably while controlling space. Because the fireball is subject to gravity, it can be used to cover Mario while recovering high, and can combo into quick attacks if Mario is close enough."
"28","Mario","Side special","Cape","7%, 1.5x times the reflected projectile","Dons a Cape and waves it in front of himself. It reflects projectiles and reverses enemies, as well as reversing the opponent's controls for a brief instant. In the air, it stalls Mario for a short period of time, allowing for timing mixups in juggle and recovery situations. Useful for gimping opponents who are trying to recover."
"29","Mario","Up special","Super Jump Punch","5% (hit 1), 0.6% (hits 2-6), 3% (hit 7)","A jumping uppercut that produces Star Coins or Metro Kingdom regional coins on contact. Mario's only recovery move. Its extremely fast startup (frame 3) and intangibility frames on startup make it useful as an out of shield option. Can KO near the upper blast line at high percents."
"30","Mario","Down special","F.L.U.D.D.","0%","Wields F.L.U.D.D. and charges up water to launch a stream at the opponent. The charge time is rather fast, and it can be charge canceled and stored for later. The water pushes opponents, but does not damage them. Mario can change the angle of the stream upwards or downwards. Useful for disrupting an approach and creating space, which can help alleviate pressure and potentially put his opponent in a vulnerable position. It also slightly pushes Mario backward if charged enough. Can also be used as an edgeguarding tool."
"31","Mario","Final Smash","Mario Finale","2% (early), 2.5% (clean), 3% (late)","Rears his arms back before thrusting them forward to generate and launch two gigantic Fireballs, which trap and repeatedly damage any opponents in their path. Deals almost no knockback, but has decent damage and can carry opponents off the side of the stage when near the ledge."
"32","Luigi","Neutral attack","","2%","A one-two combo followed by a hip bash. It hits on frame 2 and its last hit slightly moves Luigi forward, making it a safe option at close range. The first two hits can also be used for jab locking opponents. The first two hits originate from the Punch + Punch + Kick combo."
"33","Luigi","Neutral attack","","2%","A one-two combo followed by a hip bash. It hits on frame 2 and its last hit slightly moves Luigi forward, making it a safe option at close range. The first two hits can also be used for jab locking opponents. The first two hits originate from the Punch + Punch + Kick combo."
"34","Luigi","Neutral attack","","4%","A one-two combo followed by a hip bash. It hits on frame 2 and its last hit slightly moves Luigi forward, making it a safe option at close range. The first two hits can also be used for jab locking opponents. The first two hits originate from the Punch + Punch + Kick combo."
"35","Luigi","Forward tilt","","9%","A side kick. It can be angled."
"36","Luigi","Up tilt","","6%","A leaping uppercut, similar to Mario's, but more in front of Luigi rather than directly above himself. It is a potent combo starter, leading into itself at low percents and all of Luigi's aerials at mid to high percents. Compared to Mario's, it deals more damage, has more frontal range and less ending lag, but its much lower base knockback makes it less safe at very low percents."
"37","Luigi","Down tilt","","5%","A crouching kick. It has short range, and deals low damage and knockback. However, its very minimal lag allows it to be quickly used in succession to combo into itself and whittle down shields if the opponent is close enough to Luigi."
"38","Luigi","Dash attack","","2% (hits 1-4), 4% (hit 5)","Performs a flurry of punches, all while wincing nervously. It has been considerably improved from previous games, having significantly less ending lag and dealing both more damage and knockback, while still being one of the fastest dash attacks in the game in terms of startup, coming out at frame 4."
"39","Luigi","Forward smash","","15%","Does a small step backwards, then moves forward and quickly thrusts his hand in front of him to attack with his fingers and performing a knifehand thrust, a move used in karate. Luigi's most powerful smash attack, dealing high damage and very high knockback scaling on all angles. It is his slowest grounded attack, but it is one of the fastest forward smashes, coming out on frame 12. However, it has short range, making it difficult to land."
"40","Luigi","Up smash","Lead Headbutt","14% (clean), 12% (late)","An upward arcing headbutt. It is quite fast for a smash attack, coming out on frame 9, making it one of Luigi's fastest KO options, and launches opponents at a vertical angle towards him. Like Mario and Dr. Mario's up smashes, it renders his head intangible throughout its duration. Unlike theirs, however, it consists of a sweetspot and a sourspot, the latter which is located closer to Luigi."
"41","Luigi","Down smash","","15% (body), 14% (legs)","A breakdancing kick, hitting on both sides of himself. Luigi's fastest smash attack, at frame 6, rivaling his tilts in speed, but also his weakest. In an opposite fashion to his up smash, both hits possess sweetspots located closed to Luigi, with the sourspots covering the rest of his legs."
"42","Luigi","Neutral aerial","Luigi Kick","12% (clean), 6% (late)","A flying kick. It has the fastest startup out of Luigi's aerials at frame 3, making it very useful for breaking out of combos. It also launches at a vertical angle, allowing it to start combos when SHFF'd, especially with its late hit. The clean hit possesses an above average damage output and high knockback, giving it good KO power."
"43","Luigi","Forward aerial","","8%","A downward knifehand strike, a move used in karate. Very fast, coming out on frame 7. It is a reliable followup from down throw at low to medium percents, and is useful for edgeguarding and approaching due to its  extremely low ending lag, with only 14 frames. Its hitbox is positioned not only on Luigi's hand, but also slightly around his body. Overall one of the fastest moves of its type."
"44","Luigi","Back aerial","","14% (clean feet), 8% (clean legs, late)","A dropkick. The clean hit's sweetspot is located on Luigi's feet and deals high damage and great knockback, making it one of Luigi's best KOing options. Conversely, the clean hit's sourspot and the late hit deal much less damage and knockback. It comes out quickly on frame 6, but has noticeable ending lag, with 33 frames of lag, the highest of Luigi's aerials."
"45","Luigi","Up aerial","","11% (clean), 7% (late)","A bicycle kick. It is useful for combos like Mario's up aerial, due to its low ending and landing lag, while dealing above-average damage for a combo move. However, it launches at a lower angle than Mario's, which makes it less effective for combos and juggling past low percents. It also comes out one frame later than Mario's, at frame 5 instead of 4. Due to its lenient autocancel window and low ending lag, Luigi can use this move twice in a single short hop and still autocancel it."
"46","Luigi","Down aerial","","10% (clean), 8% (late)","A diagonal corkscrew dropkick. It comes out on frame 10, has low landing lag, very low ending lag and a clean hit that meteor smashes with respectable power, making it a safe edgeguarding option and a fast but powerful meteor smash with low risk and good reward. It also has the lowest ending lag of any meteor smash in the game, with only 15 frames of lag. However, said clean hit only affects the hitbox on Luigi's feet and only lasts one frame, whereas the late hit is less reliable due to launching opponents horizontally away from Luigi. Prior to update 2.0.0, the clean hit could affect both grounded and aerial opponents, which allowed it to start combos at a wide variety of percents, even possessing KO setups into Super Jump Punch. From the update onward, it only affects aerial opponents, removing nearly all its potential as a combo starter; however, it can still function as a valuable combo extender from a down throw or neutral aerial, launching opponents back to the ground and into more followup attacks."
"47","Luigi","Grab aerial","Suction Shot","5%","Fires a plunger from his Poltergust G-00. It behaves unusually from other grab aerials in that it cannot be used as a tether recovery, and the plunger alongside its string detach from the Poltergust G-00 after being fired forward, behaving as a projectile that is affected by gravity and cannot be reflected or absorbed, which makes it useful for edgeguarding. The plunger falls down until either landing on the ground or traveling a set distance, disappearing afterwards, and does not restrict Luigi from using his grab while active. Unlike other grab aerials, this move has a much higher landing lag of 20 frames, but if Luigi lands before firing the plunger, it can come out and hit opponents during landing lag, allowing it to combo into several ground attacks at close enough range."
"48","Luigi","Grab","Suction Shot","—","Fires a plunger from his Poltergust G-00. Has shorter range than other extended grabs, but less ending lag, with Luigi being able to act out of it before the plunger disappears."
"49","Luigi","Pummel","","1.3%","Squeezes the opponent with the Poltergust G-00. Much quicker than his previous pummel, but does less damage."
"50","Luigi","Forward throw","Slam","9%","Slams the opponent forward with the Poltergust G-00. Luigi's second most damaging throw, but has limited utility outside of dealing damage and setting up edge-guards at high percents. Based on the Slam ability from Luigi's Mansion 3."
"51","Luigi","Back throw","Slam","10%","Turns around to slam the opponent behind himself with the Poltergust G-00. It is Luigi's most damaging and strongest throw, being able to KO middleweights under 120% at the edge. Based on the Slam ability from Luigi's Mansion 3."
"52","Luigi","Up throw","","8% (throw), 6% (collateral)","Swings the Poltergust G-00 upwards. It can combo into a forward aerial or up aerial at low to mid percents, and possesses a collateral hitbox that launches bystanders upwards alongside the thrown opponent."
"53","Luigi","Down throw","","3% (hit 1 and throw)","Shoves the opponent under himself and Ground Pounds them. It is Luigi's most useful attack one of the most effective combo starters in the game, thanks to its average knockback, low ending lag and mostly vertical angle. It can combo into several moves, including an up tilt or up smash at low percents, and any of Luigi's aerials or Luigi Cyclone at low and up to high percents, as well as an aerial sweetspotted Super Jump Punch. Its most effective followup at lower percents is a clean down aerial, followed up by a neutral aerial into another clean down aerial, before finally ending with an up aerial into a Super Jump Punch for a zero-to-death combo that works on a wide variety of characters. At higher percents, it has several potential KO setups, including an aerial Super Jump Punch, a back aerial near the edge, and Luigi Cyclone on platforms."
"54","Luigi","Floor attack (front)","","7%","Performs a breakdancing kick before getting up."
"55","Luigi","Floor attack (back)","","7%","Punches behind himself and then in front of himself while getting up."
"56","Luigi","Floor attack (trip)","","5%","Performs a wheel kick while getting up."
"57","Luigi","Edge attack","","9%","Performs a double-footed legsweep while climbing up."
"58","Luigi","Neutral special","Fireball","6% (clean), 5% (late)","Throws a Green Fireball. It is fairly spammable, which enables it to pressure opponents from afar and hinder approaches. It deals more damage than Mario's Fireballs and is unaffected by gravity, which gives it more vertical range, but it is less suitable for edgeguarding."
"59","Luigi","Side special","Green Missile","˜6.16% (uncharged), ˜21% (fully charged), 25% (misfired)","Crouches and then shoots himself forward to perform a flying battering ram. It takes more than a full second to fully charge, but deals impressive damage upon doing so. Upon reaching full charge, it has KO potential and can be held for some time before being automatically canceled. It also has a 10% chance to misfire, which deals considerably more damage and knockback, KOing opponents at around 60% from the center of Final Destination; this is known as Overzealous Green Missile. A misfired Green Missile, also grants intangibility on frames 18-22, and always travels the same distance regardless of the charge. However, its considerable ending lag makes it punishable whether it is used for offense or recovering, which makes reads very important in order to use it effectively."
"60","Luigi","Up special","Super Jump Punch","25% (grounded sweetspot), 20% (aerial sweetspot), 1% (sourspot)","A jumping uppercut. Its grounded sweetspot emits a ping sound and triggers a Special Zoom upon hitting, and boasts excellent damage output with impressive knockback, KOing opponents from 37% to 67% depending on weight from ground level. Its aerial sweetspot is larger, yet deals less damage and knockback (though it is still powerful), and does not have the special effects of the grounded sweetspot. Both versions also grant intangibility for three frames, starting frame 8 on the ground and frame 6 in the air. However, it is very punishable because of its considerable landing lag, while its abysmally weak sourspot lacks KO potential."
"61","Luigi","Down special","Luigi Cyclone","2% (hits 1-4), 4% (hit 5)","Rapidly spins around as a vortex generates around himself, trapping the opponent and damaging them with a series of discus clotheslines and spinning backfists before assuming a spread-eagle position to launch them. It allows Luigi to move horizontally on the ground, as well as rise by mashing the special move button, although both abilities are considerably weaker than in previous games. It also grants Luigi invincibility during startup (frames 4–8 while grounded and 1–7 in midair), and has windboxes around Luigi to pull opponents into the attack, making it a potent combo breaker that, compared to his neutral aerial, is more effective but slightly less rewarding. The final hit has respectable power, with the grounded version KOing middleweights at around 160%. It should also be noted that Luigi Cyclone now requires consistent mashing for all hits to connect."
"62","Luigi","Final Smash","Poltergust G-00","30.1% (maximum captured), 10% (ejection)","Wields the Poltergust G-00 to vacuum nearby opponents into it before powerfully ejecting them diagonally. Opponents will accumulate more damage the earlier they are vacuumed in. It has decent range, and is capable of vacuuming opponents from a variety of angles."
"63","Peach","Neutral attack","","2%","Slaps the enemy twice with her leading arm: the first being an inward forehand slap, and the second being an outward backhand slap. At low percentages, the first hit can lock."
"64","Peach","Neutral attack","","3%","Slaps the enemy twice with her leading arm: the first being an inward forehand slap, and the second being an outward backhand slap. At low percentages, the first hit can lock."
"65","Peach","Forward tilt","","7% (early, clean leg), 8% (clean foot)","Kicks forward 180 degrees from low to high. Has good range for a forward tilt, and unusually for an attack of its type, launches opponents vertically, allowing it to perform air combos and juggles."
"66","Peach","Up tilt","","10% (blast), 8% (arm)","Extends her arm upward, creating a discharge of pink magic in the form of a heart."
"67","Peach","Down tilt","","7%","A low sweep kick. This move meteor smashes grounded opponents. A decently strong attack with moderate startup that can follow up into a forward smash at lower percents, forward or up aerials at mid-percents, and into an up special at higher percents. Due to the removal of teching for grounded meteor smashes, Peach's down tilt has better combo potential."
"68","Peach","Dash attack","","4% (hit 1), 6% (hit 2)","Creating magical sparks in her hands, Peach strikes with both arms extended forward, then quickly spreads her arms out."
"69","Peach","Forward smash","","18% (frying pan), 15% (golf club), 13.5% (tennis racket)","Strikes with a bludgeon, depending on the angle of the attack: angling upward uses the frying pan, angling downward uses the tennis racket, and no angling uses the golf club. Each weapon has different properties—the frying pan has more vertical knockback (and the most damage), the golf club has more diagonal knockback (and the most range), and the tennis racket has more horizontal knockback and is a strong semi-spike."
"70","Peach","Up smash","Ribbon Dance","12% (ribbon), 17% (heart)","Raises her arm and twirls a pink ribbon. A heart appears at the tip of the ribbon, which is where the sweetspot is located. Her head and arm become intangible for the duration of the move (frames 14-20)."
"71","Peach","Down smash","","2% (hits 1-6), 3% (hit 7)","Peach does a counterclockwise spin on her leg and utilizes the edge of her dress, slashing multiple times."
"72","Peach","Neutral aerial","","13% (clean), 6% (late arms), 5% (late body)","Spins around at an angle with arms extended, dealing damage to her left and right sides. The late hit can lock."
"73","Peach","Forward aerial","","15% (crown), 14% (arm)","Peach grabs the crown off her head and strikes with it in a vertical arc with red and turquoise magic sparkles emerging from the crown. Has the slowest startup out of all her aerial attacks. However, it is also her strongest aerial if sweetspotted. Her arm possesses a sourspot that deals 1% less damage, and KOs much later."
"74","Peach","Back aerial","","12% (clean), 10.2% (mid), 7% (late)","Peach strikes behind her by thrusting her rear. She creates a heart, although it is aesthetic, and possesses no hitbox. At low percentages, even the clean hit can lock."
"75","Peach","Up aerial","","4% (hit 1), 6% (hit 2)","Swipes above her head with her arms from left to right, creating two magic rainbow trails. When low floating, only the second hit will hit medium to large opponents, while small characters avoid it entirely."
"76","Peach","Down aerial","","2% (hits 1-3), 5% (hit 4)","Rapidly kicks straight downwards four times. Depending on how the last hit lands, may launch opponents behind her. From a short hop, it can even combo another down aerial after her double jump."
"77","Peach","Grab","","—","Reaches out with her arm. An average grab, though Toad appears when Peach has grabbed an opponent."
"78","Peach","Pummel","","1.3%","Toad punches the opponent."
"79","Peach","Forward throw","","2% (hit 1), 8% (throw)","Toad leaps forward, headbutting the opponent away."
"80","Peach","Back throw","","2% (hit 1), 9% (throw)","Places opponent behind her and bumps them away with her rear. Toad is present, mimicking Peach's rear thrust, but does not contribute any damage. Peach's strongest throw, and the only one that can KO at reasonable percents."
"81","Peach","Up throw","","2% (hit 1), 6% (throw)","Puts opponent above her, and strikes them upward. Toad leaps up with Peach, but does not hit the opponent."
"82","Peach","Down throw","","1% (hit 1), 7% (throw)","After putting the opponent on the ground, Toad leaps up and headbutts them, sending them upward and behind Peach. Good for starting combos, as it can lead to her back air and forward tilt at low to mid percents."
"83","Peach","Floor attack (front)","","7%","Swirls around in a similar fashion to Mario's down smash."
"84","Peach","Floor attack (back)","","7%","Swings her legs around."
"85","Peach","Floor attack (trip)","","5%","Two kicks to either side."
"86","Peach","Edge attack","","9%","While getting up, swipes forward with a hand at ground level."
"87","Peach","Neutral special","Toad","3.5% (per hit)","Peach covers her ears with a terrified expression and turns away as Toad appears in front of her, arms spread out. If hit, Toad will retaliate with a spray of spores, and Peach will wince. If attacked from behind, Peach and Toad switch places."
"88","Peach","Side special","Peach Bomber","12%","Peach lunges her body forward to deliver a powerful bash with her rear. Upon impact, she rebounds away from the victim, allowing for hit-and-run tactics. Deals considerable shield damage. Smash-inputting the move has her travel further."
"89","Peach","Up special","Peach Parasol","3% (first hit), 1% (hits 2-5), 2% (last hit), 2% (open)","Peach jumps upward and then opens her parasol, jabbing those above her in the process. It can then be used as a directional glide but can also be opened or closed at will."
"90","Peach","Down special","Vegetable","Varies","Plucks a Super Mario Bros. 2 Vegetable from the ground. She can then throw it as a projectile item. Its face determines how much damage it will do; the rarer the expression, the stronger the turnip. Along with turnips, Peach can rarely pull out Mr. Saturns and Bob-ombs."
"91","Peach","Final Smash","Peach Blossom","30% (close), 20% (mid), 10% (far)","Peach performs a dance, causing all of her enemies to fall asleep. The closer they are to her when she activates it, the more damage they will take and the longer they will slumber. Three giant peaches appear, healing 20%. This Final Smash fails to affect anyone outside the range of the screen borders."
"92","Bowser","Neutral attack","","4%","Bowser performs a sumo-style palm strike, followed by a punch. Both hits of neutral attack have decent speed, and deal decent damage in total. Bowser's arms each have intangibility (frames 7 and 8, and frames 9-11, respectively)."
"93","Bowser","Neutral attack","","7%","Bowser performs a sumo-style palm strike, followed by a punch. Both hits of neutral attack have decent speed, and deal decent damage in total. Bowser's arms each have intangibility (frames 7 and 8, and frames 9-11, respectively)."
"94","Bowser","Forward tilt","","13%","Bowser does a swung backhanded punch, with his arm slightly bent. The punch may be angled up or down, but doing so has no effect on damage or knockback.  Has damaged-based armor (frames 7-9) and intangibility on his arm (frames 10-14)."
"95","Bowser","Up tilt","","11%","Does an arcing claw swipe. Comes with wide range and average ending lag, allowing it to combo into itself at low percents. At slightly higher percents, it can combo into neutral air and back air. The attack will almost always send the opponent directly above Bowser. Has damage based armor (frames 8-10) and makes Bowser's arm intangible (frames 11-16)."
"96","Bowser","Down tilt","","7% (hit 1),8% (hit 2)","Does an alternating pair of hooks. Both hits deal 15% in total, only slightly higher than the first hit's damage output in SSB4, being 14%. Down tilt's second hit comes out five frames earlier, and gains the ability to trip opponents. Also grants damaged-based armor on the first hit (frames 7-9), and intangibility on his arms for both (frames 10-12, and 10-14, respectively). It can still hit many ledge hangs, although the first hit having set knockback can cause the second hit to whiff if a ledge hang is low enough."
"97","Bowser","Dash attack","","12% (clean),10% (late)","A side kick, similar to Meta Knight's dash attack. Good for hitting prone or tumbling opponents and has high base knockback. However, its knockback scaling is below-average, preventing it from KOing until around 190%, along with having high ending lag, making it very punishable."
"98","Bowser","Forward smash","","23% (clean feet),20% (clean body),17% (late feet),14% (late body)","A dropkick. Its outstanding damage output threatens shields, being able to inflict significant damage to them. When spaced properly, it can even hit opponents hanging on an edge or lingering just below it. It grants damaged-based armor (frames 17-21), and the clean hitboxes render Bowser's feet invincible (20-25), whereas its late hitboxes have anti-rebounding priority. The fourth strongest forward smash in the game, it can KO opponents at 63% from center stage."
"99","Bowser","Up smash","","22% (spikes),16% (sides), 12% (landing)","Hops to thrust his shell upwards while spinning. Deals the most damage to opponents who come into contact with Bowser's top spikes, while other opponents get hit by the edge sourspots or landing hitbox instead. Its sweetspot is among the strongest up smashes in the game, KOing at around 80% uncharged. Grants damaged-based armor (frames 11-15) and invincibility on his shell (frames 14-27), making it an excellent anti-air tool that is hard to compete with."
"100","Bowser","Down smash","","16% (hit 1),15% (hit 2)","Does two grounded claw swipes, hitting opponents in front then behind him. Active on frame 12, making it Bowser’s fastest smash attack. Deals high knockback, with the front hit being slightly stronger than the back hit. Grants damaged-based armor (frames 5-11), but unlike his other smashes, it possesses no invincibility. It can hit many characters' ledge hangs and is useful for covering rolls."
"101","Bowser","Neutral aerial","","6% (hits 1-4)","An aerial cartwheel. While its looping hits are hard to connect altogether, it is incredibly damaging for an aerial, and it can even open up KO confirms on landing, such as into forward aerial, back aerial and up aerial. This makes it Bowser's best combo starter when landing with it, as even at low percentages it is able to combo into up tilt and up smash."
"102","Bowser","Forward aerial","","13% (hand),12% (arm),11% (body)","Swipes downward with his claws. It has quick start-up, a respectable damage output, can pseudo-wall of pain with Whirling Fortress as a finisher, and great range, as it can even hit opponents below him. It can also auto-cancel from a short hop. Altogether, these traits make for, arguably, Bowser's most versatile aerial."
"103","Bowser","Back aerial","","19%","A dropkick. It is very powerful, as it can either KO around 100% from center-stage and as low as 60% at the edge, though it does not have much vertical range. It can auto-cancel in a short hop, making it somewhat safe when retreating. However, it has very high landing lag, making it risky to use when close to the ground. Active on frame 9."
"104","Bowser","Up aerial","","15%","An upward headbutt. Deals great knockback, enough to KO at around 100% near the upper blast line, and makes it a good juggling tool. Grants intangibility in his head (frames 3-13)."
"105","Bowser","Down aerial","","16% (spikes),2% (shockwave)","A stall-then-fall attack that involves Bowser retreating into his shell while turning upside-down, then propelling himself towards the ground while spinning on a vertical axis. The first few active frames being able to meteor smash opponents, in combination with the move's large hitbox and respectable diagonal knockback during the later active frames, make it a moderately effective edgeguarding tool. The move emits a small shockwave on both sides when Bowser lands, which makes the move slightly harder to punish. Should Bowser use the move while he's off stage, it is almost guaranteed to cause a self-destruct. Bowser will hover in the air for a brief period before the active frames begin, allowing this move to stall Bowser’s landing. Grants intangibility on his arms and legs in midair (frames 14-60) and upon landing (frames 1-27)."
"106","Bowser","Grab","","—","Reaches out."
"107","Bowser","Pummel","","1.6%","Headbutts the opponent."
"108","Bowser","Forward throw","","12%","Places the opponent in between his horns, rears his head back, and then powerfully sways his head forward to launch the opponent. It is the strongest forward throw in the game, KOing around 120% near the edge. However, it doesn't throw until frame 36, which results in it taking longer to throw opponents than back throw, making it more susceptible to DI."
"109","Bowser","Back throw","","12%","Throws the opponent backward in a sideways motion. It has the exact same damage output and knockback values as his forward throw, which make it a viable KOing option around 120% near the edge. However, its throw hitbox is active on frame 19, enabling it to throw opponents earlier than forward throw."
"110","Bowser","Up throw","","0.5% (hits 1-7),2% (hit 8),4% (hit 9)2% (throw)","Throws the opponent slightly upward, withdraws into his shell, and then spins rapidly in order to repeatedly stab them with his shell's spikes. He hops up on the final hit, launching the opponent upward. Can combo into forward or up aerial at low percents. Furthermore, the latter becomes a 50/50 KO setup at high percentages."
"111","Bowser","Down throw","","10% (hit 1),4% (throw)","Places the opponent on the ground and body slams them. Its high base knockback, low knockback scaling, and high ending lag prevent it from having any follow-ups. However, its very high damage and base knockback make it a good mixup and an option to send opponents offstage."
"112","Bowser","Floor attack (front)","","7%","Swipes his claws behind himself and in front of himself while stumbling to his feet."
"113","Bowser","Floor attack (back)","","7%","Swipes his claws around himself while getting up."
"114","Bowser","Floor attack (trip)","","5%","Swipes his claws around himself while getting up."
"115","Bowser","Edge attack","","10%","Bowser slowly climbs up from the ledge, then swipes at the ground in front of him. Has by far the longest range out of any edge attack."
"116","Bowser","Neutral special","Fire Breath","1.8%xN","Expels a stream of fire from his mouth. It gradually loses strength and range, but will slowly regain its strength when not in use. It can be angled upward or downward, which can potentially gimp recovering opponents, although the flames at the very end of the stream do not cause flinching. It deals notoriously high damage, as at close ranges it can potentially deal over 30% in a matter of a few seconds."
