"Date >> Date","Time(edt) >> Time(edt)","Wind(kph) >> Wind(kph)","Vis.(km) >> Vis.(km)","Weather >> Weather","Sky Cond. >> Sky Cond.","Temperature (ºC) >> Air >> Air >> Temperature (ºC)","Temperature (ºC) >> Dwpt >> Dwpt >> Temperature (ºC)","Temperature (ºC) >> 6 hour >> Max. >> Max. >> 6 hour >> Temperature (ºC)","Temperature (ºC) >> 6 hour >> Min. >> Min. >> 6 hour >> Temperature (ºC)","RelativeHumidity >> RelativeHumidity","WindChill(°C) >> WindChill(°C)","HeatIndex(°C) >> HeatIndex(°C)","Pressure >> altimeter(cm) >> altimeter(cm) >> Pressure","Pressure >> sea level(mb) >> sea level(mb) >> Pressure","Precipitation (cm) >> 1 hr >> 1 hr >> Precipitation (cm)","Precipitation (cm) >> 3 hr >> 3 hr >> Precipitation (cm)","Precipitation (cm) >> 6 hr >> 6 hr >> Precipitation (cm)"
"06","12:51","Vrbl 5 G 27","16","Overcast","FEW020 OVC050","20","15",NA,NA,"73%","NA","NA","77.01","1025.9",NA,NA,NA
"06","11:51","Vrbl 10","16","Overcast","OVC048","19.4","13.9",NA,NA,"71%","NA","NA","77.06","1026.3",NA,NA,NA
"06","10:51","Vrbl 10","16","Overcast","OVC042","18.3","12.8",NA,NA,"70%","NA","NA","77.06","1026.6",NA,NA,NA
"06","09:51","Vrbl 5","16","Overcast","OVC037","17.8","12.2",NA,NA,"70%","NA","NA","77.09","1026.7",NA,NA,NA
"06","08:51","Vrbl 8","16","Overcast","OVC039","17.2","11.7",NA,NA,"70%","NA","NA","77.06","1026.5",NA,NA,NA
"06","07:51","Vrbl 8","16","Overcast","OVC039","17.2","11.1","17.2","14.4","68%","NA","NA","77.09","1026.7",NA,NA,NA
"06","06:51","Vrbl 5","16","Overcast","OVC049","16.7","10",NA,NA,"65%","NA","NA","77.06","1026.5",NA,NA,NA
"06","05:51","Calm","16","Overcast","BKN044 OVC050","16.1","9.4",NA,NA,"65%","NA","NA","77.06","1026.6",NA,NA,NA
"06","04:51","Calm","16","Overcast","OVC049","15.6","8.3",NA,NA,"62%","NA","NA","77.09","1026.7",NA,NA,NA
"06","03:51","Calm","16","Mostly Cloudy","BKN050","14.4","7.8",NA,NA,"65%","NA","NA","77.11","1027.0",NA,NA,NA
"06","02:51","Calm","16","Mostly Cloudy","BKN050","14.4","8.3",NA,NA,"67%","NA","NA","77.14","1027.5",NA,NA,NA
"06","01:51","Calm","16","Overcast","OVC045","14.4","8.3","14.4","11.1","67%","NA","NA","77.17","1027.7",NA,NA,NA
"06","00:51","Vrbl 5","16","Overcast","OVC046","13.9","7.8",NA,NA,"67%","NA","NA","77.17","1027.9",NA,NA,NA
"05","23:51","Calm","16","Overcast","OVC042","13.3","7.2",NA,NA,"67%","NA","NA","77.22","1028.5",NA,NA,NA
"05","22:51","Vrbl 5","16","Mostly Cloudy","BKN039","12.8","6.1",NA,NA,"64%","NA","NA","77.24","1028.9",NA,NA,NA
"05","21:51","Calm","16","Overcast","OVC039","13.3","5.6",NA,NA,"60%","NA","NA","77.24","1029.1",NA,NA,NA
"05","20:51","Vrbl 10","16","Overcast","OVC037","12.8","4.4",NA,NA,"57%","NA","NA","77.27","1029.2",NA,NA,NA
"05","19:51","Calm","16","Fair","CLR","11.1","0.6","16.1","11.1","49%","NA","NA","77.27","1029.2",NA,NA,NA
"05","18:51","Vrbl 8","16","Fair","CLR","11.7","2.8",NA,NA,"55%","NA","NA","77.27","1029.2",NA,NA,NA
"05","17:51","Calm","16","Fair","CLR","12.8","3.3",NA,NA,"53%","NA","NA","77.24","1029.0",NA,NA,NA
"05","16:51","Calm","16","Fair","CLR","13.9","2.8",NA,NA,"47%","NA","NA","77.27","1029.1",NA,NA,NA
"05","15:51","Calm","16","Fair","CLR","14.4","3.3",NA,NA,"48%","NA","NA","77.27","1029.3",NA,NA,NA
"05","14:51","Calm","16","Fair","CLR","15","1.1",NA,NA,"39%","NA","NA","77.29","1029.6",NA,NA,NA
"05","13:51","Vrbl 8","16","Fair","CLR","15","1.1","15","7.2","39%","NA","NA","77.37","1030.5",NA,NA,NA
"05","12:51","N 13","16","Fair","CLR","14.4","0.6",NA,NA,"39%","NA","NA","77.39","1031.1",NA,NA,NA
"05","11:51","Vrbl 11","16","Fair","CLR","13.3","-0.6",NA,NA,"39%","NA","NA","77.44","1031.7",NA,NA,NA
"05","10:51","NE 13","16","Fair","CLR","11.1","0.6",NA,NA,"49%","NA","NA","77.47","1031.9",NA,NA,NA
"05","09:51","Vrbl 11","16","Fair","CLR","10.6","1.1",NA,NA,"52%","NA","NA","77.44","1031.8",NA,NA,NA
"05","08:51","NE 14","16","Fair","CLR","8.9","0",NA,NA,"54%","6.7","NA","77.42","1031.2",NA,NA,NA
"05","07:51","Vrbl 8","16","Fair","CLR","7.2","0.6","9.4","7.2","63%","5.6","NA","77.39","1031.1",NA,NA,NA
"05","06:51","N 13 G 27","16","Fair","CLR","7.2","1.1",NA,NA,"66%","5","NA","77.37","1030.5",NA,NA,NA
